                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 0.7032,                0.50716,                0.95513,                0.91275,                0.88106,                0.93259,                0.80223,                0.60241,                 0.3968,                0.86759,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.70035,                0.52547,                0.96024,                0.92079,                0.87741,                0.93433,                 0.8045,                0.59789,                0.39665,                0.86556,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.70029,                0.52262,                 0.9731,                0.93084,                0.87379,                0.93505,                0.80843,                0.59299,                0.39594,                0.86416,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.69194,                0.50248,                0.96142,                0.93801,                0.87253,                0.93548,                0.80761,                0.58877,                0.39433,                0.86265,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.67474,                0.51547,                0.96195,                0.94135,                0.86566,                0.93357,                0.80831,                0.58697,                0.39085,                 0.8621,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.66438,                 0.5016,                0.94981,                0.93965,                0.86411,                0.93588,                0.81139,                0.58544,                0.39012,                0.86183,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.67138,                0.50869,                0.97453,                0.93602,                0.86455,                0.93593,                0.81302,                0.58173,                0.38995,                 0.8607,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.65396,                0.49084,                0.93562,                0.93632,                0.86531,                0.93699,                0.81735,                0.57676,                0.38898,                0.85887,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.66851,                0.49412,                0.93827,                0.93111,                0.87709,                0.93779,                0.82097,                0.57402,                0.39004,                 0.8577,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.66574,                0.50011,                0.93906,                0.92631,                0.88503,                0.93766,                 0.8202,                0.57407,                0.38937,                0.85737,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.68068,                0.49208,                0.94354,                 0.9291,                0.88831,                0.93774,                0.81783,                0.57133,                0.38808,                0.85657,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.71144,                0.50737,                0.97037,                0.92806,                0.88847,                0.93874,                0.81687,                0.56838,                0.38495,                0.85595,              5.067e-05,              5.067e-05,              5.067e-05
